Date,Open,High,Low,Close,O1,O2,O3
10/30/2019,3039.73999,3050.100098,3025.959961,3046.77002,1,1,0
10/31/2019,3046.899902,3046.899902,3023.189941,3037.560059,0,1,0
11/1/2019,3050.719971,3066.949951,3050.719971,3066.909912,1,1,1
11/4/2019,3078.959961,3085.199951,3074.870117,3078.27002,0,1,0
11/5/2019,3080.800049,3083.949951,3072.149902,3074.620117,0,1,0
11/6/2019,3075.100098,3078.340088,3065.889893,3076.780029,1,1,0
11/7/2019,3087.02002,3097.77002,3080.22998,3085.179932,0,1,0
11/8/2019,3081.25,3093.090088,3073.580078,3093.080078,1,1,0
11/11/2019,3080.330078,3088.330078,3075.820068,3087.01001,1,1,0
11/12/2019,3089.280029,3102.610107,3084.72998,3091.840088,1,1,0
11/13/2019,3084.179932,3098.060059,3078.800049,3094.040039,1,1,0
11/14/2019,3090.75,3098.199951,3083.26001,3096.629883,1,1,0
11/15/2019,3107.919922,3120.459961,3104.600098,3120.459961,1,1,0
11/18/2019,3117.909912,3124.169922,3112.060059,3122.030029,1,1,0
11/19/2019,3127.449951,3127.639893,3113.469971,3120.179932,0,1,0
11/20/2019,3114.659912,3118.969971,3091.409912,3108.459961,0,1,0
11/21/2019,3108.48999,3110.110107,3094.550049,3103.540039,0,1,0
11/22/2019,3111.409912,3112.870117,3099.26001,3110.290039,0,1,0
11/25/2019,3117.439941,3133.830078,3117.439941,3133.639893,1,1,1
11/26/2019,3134.850098,3142.689941,3131,3140.52002,1,1,0
11/27/2019,3145.48999,3154.26001,3143.409912,3153.629883,1,1,0
11/29/2019,3147.179932,3150.300049,3139.340088,3140.97998,0,1,0
12/2/2019,3143.850098,3144.310059,3110.780029,3113.870117,0,1,0
12/3/2019,3087.409912,3094.969971,3070.330078,3093.199951,1,1,0
12/4/2019,3103.5,3119.379883,3102.530029,3112.76001,1,1,0
12/5/2019,3119.209961,3119.449951,3103.76001,3117.429932,0,1,0
12/6/2019,3134.620117,3150.600098,3134.620117,3145.909912,1,1,1
12/9/2019,3141.860107,3148.870117,3135.459961,3135.959961,0,1,0
12/10/2019,3135.360107,3142.120117,3126.090088,3132.52002,0,1,0
12/11/2019,3135.75,3143.97998,3133.209961,3141.629883,1,1,0
12/12/2019,3141.22998,3176.280029,3138.469971,3168.570068,1,1,0
12/13/2019,3166.649902,3182.679932,3156.51001,3168.800049,1,1,0
12/16/2019,3183.629883,3197.709961,3183.629883,3191.449951,1,1,1
12/17/2019,3195.399902,3198.219971,3191.030029,3192.52002,0,1,0
12/18/2019,3195.209961,3198.47998,3191.139893,3191.139893,0,1,0
12/19/2019,3192.320068,3205.47998,3192.320068,3205.370117,1,1,1
12/20/2019,3223.330078,3225.649902,3216.030029,3221.219971,0,1,0
12/23/2019,3226.050049,3227.780029,3222.300049,3224.01001,0,1,0
12/24/2019,3225.449951,3226.429932,3220.51001,3223.379883,0,1,0
12/26/2019,3227.199951,3240.080078,3227.199951,3239.909912,1,1,1
12/27/2019,3247.22998,3247.929932,3234.370117,3240.02002,0,1,0
12/30/2019,3240.090088,3240.919922,3216.570068,3221.290039,0,1,0
12/31/2019,3215.179932,3231.719971,3212.030029,3230.780029,1,1,0
1/2/2020,3244.669922,3258.139893,3235.530029,3257.850098,1,1,0
1/3/2020,3226.360107,3246.149902,3222.340088,3234.850098,1,1,0
1/6/2020,3217.550049,3246.840088,3214.639893,3246.280029,1,1,0
1/7/2020,3241.860107,3244.909912,3232.429932,3237.179932,0,1,0
1/8/2020,3238.590088,3267.070068,3236.669922,3253.050049,1,1,0
1/9/2020,3266.030029,3275.580078,3263.669922,3274.699951,1,1,0
1/10/2020,3281.810059,3282.98999,3260.860107,3265.350098,0,1,0
1/13/2020,3271.129883,3288.129883,3268.429932,3288.129883,1,1,0
1/14/2020,3285.350098,3294.25,3277.189941,3283.149902,0,1,0
1/15/2020,3282.27002,3298.659912,3280.689941,3289.290039,1,1,0
1/16/2020,3302.969971,3317.110107,3302.820068,3316.810059,1,1,0
1/17/2020,3323.659912,3329.879883,3318.860107,3329.620117,1,1,0
1/21/2020,3321.030029,3329.790039,3316.610107,3320.790039,0,1,0
1/22/2020,3330.02002,3337.77002,3320.040039,3321.75,0,1,0
1/23/2020,3315.77002,3326.879883,3301.870117,3325.540039,1,1,0
1/24/2020,3333.100098,3333.179932,3281.530029,3295.469971,0,1,0
1/27/2020,3247.159912,3258.850098,3234.5,3243.629883,0,1,0
1/28/2020,3255.350098,3285.780029,3253.219971,3276.23999,1,1,0
1/29/2020,3289.459961,3293.469971,3271.889893,3273.399902,0,1,0
1/30/2020,3256.449951,3285.909912,3242.800049,3283.659912,1,1,0
1/31/2020,3282.330078,3282.330078,3214.679932,3225.52002,0,1,0
2/3/2020,3235.659912,3268.439941,3235.659912,3248.919922,1,1,1
2/4/2020,3280.610107,3306.919922,3280.610107,3297.590088,1,1,1
2/5/2020,3324.909912,3337.580078,3313.75,3334.689941,1,1,0
2/6/2020,3344.919922,3347.959961,3334.389893,3345.780029,1,1,0
2/7/2020,3335.540039,3341.419922,3322.120117,3327.709961,0,1,0
2/10/2020,3318.280029,3352.26001,3317.77002,3352.090088,1,1,0
2/11/2020,3365.870117,3375.629883,3352.719971,3357.75,0,1,0
2/12/2020,3370.5,3381.469971,3369.719971,3379.449951,1,1,0
2/13/2020,3365.899902,3385.090088,3360.52002,3373.939941,1,1,0
2/14/2020,3378.080078,3380.689941,3366.149902,3380.159912,1,1,0
2/18/2020,3369.040039,3375.01001,3355.610107,3370.290039,1,1,0
2/19/2020,3380.389893,3393.52002,3378.830078,3386.149902,1,1,0
2/20/2020,3380.449951,3389.149902,3341.02002,3373.22998,0,1,0
2/21/2020,3360.5,3360.76001,3328.449951,3337.75,0,1,0
2/24/2020,3257.610107,3259.810059,3214.649902,3225.889893,0,1,0
2/25/2020,3238.939941,3246.98999,3118.77002,3128.209961,0,1,0
2/26/2020,3139.899902,3182.51001,3108.98999,3116.389893,0,1,0
2/27/2020,3062.540039,3097.070068,2977.389893,2978.76001,0,1,0
2/28/2020,2916.899902,2959.719971,2855.840088,2954.219971,1,1,0
