2020-02-12 @Edison CC                71  Columbus St CC           70           
2020-02-12  Cuyahoga CC              70 @Lorain Co CC             66           
2020-02-12 @N Iowa CC                93  Dakota Co Tech           87           
2020-02-12 @Davidson Co CC          105  Guilford Tech CC         87           
2020-02-12  Delta Col                74 @Macomb CC                71           
2020-02-12 @Kirkwood CC              77  Des Moines CC            68           
2020-02-12  Erie CC                  87 @Monroe CC                69           
2020-02-12 @Fort Scott CC            72  Johnson Co               63           
2020-02-12 @Genesee CC               85  Mercyhurst NE            73           
2020-02-12 @Scottsdale CC            77  Glendale AZ              65           
2020-02-12 @Glen Oaks CC             79  Lansing CC               78           
2020-02-12  Kansas City KS           80 @Hesston                  60           
2020-02-12  Labette CC               82 @Highland CC KS           59           
2020-02-12  Iowa Cent                83 @Little Priest            58           
2020-02-12  Iowa Lakes CC           111 @Southwestern CC         102           
2020-02-12  Muskegon CC              79 @Jackson CC               77           
2020-02-12  Niagara Co               97 @Jamestown CC             75           
2020-02-12 @Mid-Michigan CC          89  Kalamazoo Val            83           
2020-02-12  Kellogg CC               94 @Lake Michigan            78           
2020-02-12  Wake Tech                92 @Lenoir CC                81           
2020-02-12 @Milwaukee Tech          129  Wilbur Wright           111           
2020-02-12 @St Clair Co              82  Mott CC                  79           
2020-02-12  Sinclair CC             102 @Hocking                 100           
2020-02-12  Ridgewater               92 @Anoka Ramsey             75           
2020-02-12  Richland                 81 @Brookhaven               72           
2020-02-12  Finger Lakes CC          90 @Cayuga CC                68           
2020-02-12  North Lake               86 @Cedar Valley             83           
2020-02-12 @Central Lakes            88  Itasca CC                72           
2020-02-12 @Joliet JC                75  Col of Dupage            67           
2020-02-12 @Hudson Val              122  Columbia Greene          85           
2020-02-12 @Corning CC               98  Broome CC                66           
2020-02-12 @Eastfield Col            95  Mtn View                 88           
2020-02-12 @N Country CC             80  Fulton-Mont              77           
2020-02-12 @Herkimer Co              93  Adirondack CC            55           
2020-02-12  Sandhills CC             76 @Johnston CC              59           
2020-02-12 @MN West C&T              89  MN St CTC                77           
2020-02-12 @Northland CTC            89  Rainy River CC           67           
2020-02-12 @Onondaga CC              80  Tompkins Cortland        62           
2020-02-12 @Rochester C&T            77  Riverland CC             75           
2020-02-12 @St Cloud Tech            67  Western Tech             58           
2020-02-12 @Owens CC                 91  Terra St                 90           
2020-02-12 @Alameda                  97  Los Medanos              82           
2020-02-12 @Allan Hancock            78  Cuesta                   65           
2020-02-12  Antelope Val CC          77 @Bakersfield Col          74           
2020-02-12  Victor Valley            95 @Barstow CC               81           
2020-02-12  Butte Col                94 @Lassen                   44           
2020-02-12 @Glendale CA              76  Col of the Canyons       75           
2020-02-12  Cerritos Col             77 @Long Beach City Col      69           
2020-02-12  Cerro Coso               69 @San Bernardino Val       68           
2020-02-12 @Las Positas              84  Chabot                   80           
2020-02-12  Citrus Col               83 @Santa Monica Col         77           
2020-02-12 @Columbia CC             112  West Hills-Lemoore       61           
2020-02-12  LA Southwest             79 @El Camino-Compton        75           
2020-02-12  Napa Valley CC           68 @Contra Costa             63           
2020-02-12 @Southwestern CA          91  Cuyamaca                 39           
2020-02-12  De Anza Col              88 @Gavilan                  85           
2020-02-12  Mt San Jacinto           80 @Col of the Desert        71           
2020-02-12  LA Harbor                78 @El Camino Col            62           
2020-02-12 @Feather River            91  Siskiyous                81           
2020-02-12 @City Col San Fran       108  Foothill Col             41           
2020-02-12  Fresno City Col          83 @Porterville              70           
2020-02-12  MiraCosta                67 @Grossmont                58           
2020-02-12  Hartnell                 61 @San Jose City Col        59           
2020-02-12 @Orange Coast             69  Irvine Valley            67           
2020-02-12 @LA Pierce               114  Oxnard                   72           
2020-02-12 @LA Trade-Tech           102  Mt San Antonio          100           
2020-02-12  West LA Col              81 @LA Valley Col            75           
2020-02-12 @Col Marin                73  Solano CC                70           
2020-02-12  Mendocino                66 @Yuba                     62           
2020-02-12 @Merced Col               78  West Hills               68           
2020-02-12 @Monterey Peninsula       61  West Valley Col          55           
2020-02-12 @Ventura Col              89  Moorpark                 81           
2020-02-12 @Ohlone                   66  Skyline                  62           
2020-02-12 @Palomar Col              84  San Diego Mesa           65           
2020-02-12  Pasadena City Col        94 @Rio Hondo                82           
2020-02-12  Col of the Sequoias      81 @Reedley                  67           
2020-02-12 @Hartford                 66  SUNY Albany              60           
2020-02-12 @Lycoming                 67  Alvernia                 63           
2020-02-12 @Hanover                  73  Anderson IN              46           
2020-02-12 @Anna Maria               79  Bowdoin                  74           
2020-02-12 @John Carroll            101  Baldwin-Wallace          82           
2020-02-12  Palm Beach Atl          100 @Barry                    95 O1        
2020-02-12 @N England Col            80  Becker                   67           
2020-02-12  Blackburn                88 @MacMurray                65           
2020-02-12 @Cairn                    82  Bryn Athyn               64           
2020-02-12 @Cabrini                  94  Marywood                 84           
2020-02-12 @Cal Lutheran             76  La Verne                 63           
2020-02-12  MA Boston                69 @Castleton                43           
2020-02-12  Wells                    71 @Cazenovia                65           
2020-02-12  Centenary NJ             86 @Keystone                 84           
2020-02-12 @Redlands                 87  Chapman                  81           
2020-02-12 @ETSU                     91  Citadel                  67           
2020-02-12 @Clayton St               81  Georgia SW               80           
2020-02-12 @Rivier                   91  Colby-Sawyer             87           
2020-02-12  Crown MN                 74 @MN Morris                73           
2020-02-12  Stevens                  76 @DeSales                  64           
2020-02-12 @Dominican NY             65  Post                     54           
2020-02-12 @Eastern Univ             70  FDU Madison              54           
2020-02-12 @Eckerd                   90  Florida Tech             78           
2020-02-12 @RI College               77  E Connecticut            66           
2020-02-12  Elms                    115 @Lesley                   78           
2020-02-12 @Fairmont St              81  Notre Dame OH            76           
2020-02-12  Fisher                   78 @Pine Manor               54           
2020-02-12 @Franklin Pierce          85  Stonehill                79           
2020-02-12 @Gettysburg               75  McDaniel Col             73           
2020-02-12 @Hiram                    95  Kenyon                   92 O2        
2020-02-12 @Lehigh                   89  Holy Cross               82           
2020-02-12 @John Jay                 60  Medgar Evers             57           
2020-02-12 @R Stockton               78  Kean                     61           
2020-02-12  SUNYIT                  115 @Keuka                   110 O4        
2020-02-12  NC Pembroke              81 @Lander                   66           
2020-02-12 @PSU-Behrend              81  Medaille                 74           
2020-02-12  Messiah                  82 @Stevenson                76           
2020-02-12 @Mt St Joseph             75  Transylvania             67           
2020-02-12 @UAB                      83  MTSU                     72           
2020-02-12  Rosemont                 95 @Summit                   59           
2020-02-12 @Shepherd                 83  West Chester             78           
2020-02-12  UC Irvine                63 @UC Riverside             59           
2020-02-12 @Wash & Jeff              71  Waynesburg               65           
2020-02-12 @WI LaCrosse              94  WI Stout                 62           
2020-02-12 @Clarke                   88  Graceland                65           
2020-02-12 @Columbia Intl            79  Milligan                 48           
2020-02-12 @Olivet Naz              107  St Ambrose               74           
2020-02-12  Gallaudet                67 @PSU-Harrisburg           62           
2020-02-12 @St Rose                  77  New Haven                73           
2020-02-12 @York ON                  91  Ontario Tech             88           
2020-02-12 @Whatcom CC               83  Bellevue CC              75           
2020-02-12 @Yakima Val CC           104  Blue Mountain CC         90           
2020-02-12  Centralia Col            68 @Tacoma CC                64           
2020-02-12 @Clackamas CC             87  Mt Hood CC               85           
2020-02-12  Spokane CC               90 @Columbia Basin           56           
2020-02-12 @Edmonds CC               88  Olympic                  76           
2020-02-12  Everett CC               67 @Shoreline CC             63           
2020-02-12 @Green River CC           76  Grays Harbor             67           
2020-02-12 @Highline CC              89  Pierce CC                80           
2020-02-12  Lane CC                  88 @SW Oregon CC             81           
2020-02-12 @Umpqua CC                83  Linn-Benton CC           58           
2020-02-12  Lower Columbia           89 @S Puget Sound CC         68           
2020-02-12  North Idaho              79 @Wenatchee Val CC         78           
2020-02-12 @Peninsula                74  Skagit Val CC            73           
2020-02-12  Treasure Val CC          83 @Walla Walla CC           77           
2020-02-12 @Catawba                  90  Coker                    76           
2020-02-12  Indiana PA               79 @California PA            70           
2020-02-12  IL Tech                  66 @Edgewood                 56           
2020-02-12  Greenville              136 @Iowa Wesleyan           119           
2020-02-12  Queens NC                88 @Newberry                 72           
2020-02-12 @La Roche                 82  Franciscan OH            75           
2020-02-12 @Aurora                   87  Lakeland                 80           
2020-02-12  Capital                  76 @Heidelberg               73 O1        
2020-02-12 @St Mary's MN             74  Carleton MN              55           
2020-02-12  Dominican IL             77 @Marian WI                60           
2020-02-12 @Carroll WI               74  Wheaton IL               61           
2020-02-12 @Immaculata               90  Neumann                  65           
2020-02-12  Luther IA                79 @Central IA               72           
2020-02-12  Anderson SC              91 @Wingate                  85           
2020-02-12  T Jefferson              78 @Wilmington DE            62           
2020-02-12  Coe                      80 @Simpson IA               60           
2020-02-12  St Olaf                  69 @Concordia Mhd            60           
2020-02-12 @Concordia NY             85  Caldwell                 73           
2020-02-12 @Ripon                    83  Cornell IA               62           
2020-02-12 @NYIT                     68  Dist Columbia            64           
2020-02-12 @Susquehanna              79  Drew                     54           
2020-02-12  Salem WV                 72 @Seton Hill               61           
2020-02-12  Loras                    72 @Dubuque                  71           
2020-02-12 @Milwaukee Eng            65  Benedictine IL           64 O1        
2020-02-12 @Ferrum                   98  Emory & Henry            74           
2020-02-12 @Luther MN                64  N Central MN             61           
2020-02-12 @St Vincent               80  Bethany WV               69           
2020-02-12  Morrisville St           72 @SUNY Cobleskill          46           
2020-02-12  St John's MN             82 @Macalester               59           
2020-02-12  N Central IL             70 @Augustana IL             55           
2020-02-12  Queens NY                87 @Molloy                   75           
2020-02-12 @Montclair St             77  Rutgers-Newark           73           
2020-02-12 @Moravian                 68  Scranton                 66           
2020-02-12 @St Norbert               66  Beloit                   43           
2020-02-12 @Slippery Rock            78  Pitt-Johnstown           75           
2020-02-12  St Joseph CT             91 @Regis MA                 73           
2020-02-12 @Baruch                   86  Brooklyn Col             73           
2020-02-12  St Thomas MN             65 @Bethel MN                60           
2020-02-12 @Worcester St             85  Salem MA                 76           
2020-02-12  Buena Vista              91 @Wartburg                 67           
2020-02-12 @Westfield St             99  Bridgewater MA           71           
2020-02-12  WI Platteville           70 @WI Whitewater            68           
2020-02-12 @Allen                    95  Truett-McConnell         66           
2020-02-12 @Mt Marty                 72  Dakota Wesleyan          61           
2020-02-12  Midland NE               83 @Doane                    73           
2020-02-12 @Benedictine KS           78  Evangel                  65           
2020-02-12  Indiana Tech             53 @Lawrence Tech            41           
2020-02-12  Northwestern IA         101 @Jamestown                98           
2020-02-12 @Missouri Val             98  Mid Am Nazarene          93 O1        
2020-02-12 @Northwestern OH          82  Siena Hts                81           
2020-02-12  OK Wesleyan              83 @St Mary KS               68           
2020-02-12 @Ottawa KS                95  York NE                  77           
2020-02-12  St Xavier IL             97 @Trinity Intl             75           
2020-02-12 @Apprentice               91  Mid-Atlantic Chr         79           
2020-02-12  Southern-Shreve          77 @Delgado CC               69           
2020-02-12  Lewis & Clark CC         68 @SE Illinois              64           
2020-02-12 @Triton Col              123  Madison Col              60           
2020-02-12 @Wayne Co                 63  Schoolcraft              60           
2020-02-12 @Clinton CC (NY)          55  Schenectady Co           46           
2020-02-12  Lake Superior CC         73 @Vermilion CC             61           
2020-02-12 @Bry & Strat-Buffalo     116  Bry & Strat-Greece      100           
2020-02-12  Angelina                108 @Victoria College         68           
2020-02-12  Chatt St Tech            78 @Roane St                 70           
2020-02-12 @Dyersburg St             88  Columbia St              79           
2020-02-12  Friends                  75 @Bethel KS                73           
2020-02-12  Dordt                    92 @Briar Cliff              86           
2020-02-12 @Bryan                    79  Point                    72           
2020-02-12 @MI Dearborn              89  Concordia MI             64           
2020-02-12 @Concordia NE             83  Hastings                 77           
2020-02-12 @William Penn            108  Culver-Stockton          72           
2020-02-12 @Peru St                  85  Grand View               75           
2020-02-12 @Southwestern KS          95  KS Wesleyan              87           
2020-02-12  Tabor                    87 @Sterling                 67           
2020-02-12 @Avila                    74  Bethany KS               71           
2020-02-12 @IN S Bend               102  Calumet-St Jos           71           
2020-02-12  Mt Mercy                 73 @Cent Methodist           70           
2020-02-12 @R Morris Chi             93  Governors St             92           
2020-02-12  Holy Cross IN            85 @St Francis IL            81           
2020-02-12 @TN Wesleyan              76  Kentucky Chr             72           
2020-02-12 @Union KY                 86  Montreat                 83           
2020-02-12 @Col San Mateo           105  Canada Col               66           
2020-02-12 @Copper Mtn               82  Palo Verde               73           
2020-02-12  Portland CC             110 @Chemekata CC            105           
2020-02-12 @Mesabi Range             84  Hibbing CC               81           
2020-02-12  Dalton St                83 @Fisk                     75           
2020-02-12 @Indiana NW               81  Roosevelt                71           
2020-02-12 @Rochester MI             78  Madonna                  62           
2020-02-12 @Miles                    65  Savannah St              56           
2020-02-12 @Covenant                 80  Piedmont                 71           
2020-02-12 @John Wood CC             88  Lincoln Land             62           
2020-02-12 @Towson                   71  Regent                   55           
2020-02-12 @Haskell                  87  Crowley's Ridge          77           
2020-02-12  Rock Valley             100 @Harper                   52           
2020-02-12  St Mary's NS             96 @St Fran Xavier           94           
2020-02-12  S Maine Tech             67 @C Maine Tech             53           
2020-02-12 @Florida National         97  Camp U-Harrodsburg       76           
2020-02-12 @Great Bay CC            102  ME Augusta               83           
2020-02-12 @J&W NC                  108  Warren Wilson            65           
2020-02-12 @Kent-Tusc                74  Akron-Wayne              72           
2020-02-12 @Piedmont Bap             83  Clinton JC               73           
2020-02-12 @SUNY Delhi               98  Bry & Strat-Liverpool    75           
2020-02-12 @Hagerstown CC            81  N Virginia CC            64           
2020-02-12  SD City Col              87 @Miramar CC               73           
2020-02-13  C Washington             66 @AK Fairbanks             63           
2020-02-13 @Georgia St               76  Appalachian St           65           
2020-02-13 @UT Arlington             77  Arkansas St              67           
2020-02-13 @Harding                  99  Arkansas Tech            95 O1        
2020-02-13 @Texas St                 74  Ark Little Rock          66           
2020-02-13 @Ark Monticello           67  S Arkansas               64           
2020-02-13 @Austin Peay              71  Murray St                68           
2020-02-13 @Azusa Pacific            80  Fresno Pacific           54           
