2020-01-03 @Navarro                  77  Coastal Bend             60           
2020-01-03 @Shelton St               86  Enterprise St            77           
2020-01-03  Jacksonville Col        100 @Paris JC                 86           
2020-01-03  Lamar St                 79 @Trinity Valley CC        67           
2020-01-03 @Panola                   93  Lee TX                   79           
2020-01-03  SW Tennessee             84 @SW MO St-WP              75           
2020-01-03  ND St Science            89  Rochester C&T            61           
2020-01-03  Des Moines CC           108 @Daley                    72           
2020-01-03 @S Suburban               78  Carl Sandburg            55           
2020-01-03 @Northland CTC            79  Dakota-Bottineau         49           
2020-01-03 @Dakota Co Tech          101  Anoka Ramsey             83           
2020-01-03  Scottsdale CC            97 @Glendale AZ              94           
2020-01-03 @Central Lakes            95  MN West C&T              60           
2020-01-03  St Cloud Tech            97  Itasca CC                86           
2020-01-03 @MN St CTC                83  Mesabi Range             71           
2020-01-03  American River           71 @Cosumnes River           64           
2020-01-03 @Bakersfield Col         106  Santa Barbara City       52           
2020-01-03 @Cerritos Col             84  Mt San Antonio           47           
2020-01-03 @Citrus Col               88  LA Pierce                76           
2020-01-03 @El Camino-Compton        78  Rio Hondo                63           
2020-01-03 @Fullerton Col            63  Cypress                  41           
2020-01-03  De Anza Col              72 @Ohlone                   69           
2020-01-03 @Sacramento City          72  Diablo Val               66           
2020-01-03  East LA Col             126 @El Camino Col            81           
2020-01-03  City Col San Fran        97 @Gavilan                  83           
2020-01-03  Miramar CC               96 @Grossmont                83           
2020-01-03 @Las Positas              97  Hartnell                 73           
2020-01-03 @San Diego Mesa          102  Imperial Val             73           
2020-01-03  LA Trade-Tech            78 @LA Harbor                66           
2020-01-03 @LA Southwest             88  Pasadena City Col        82           
2020-01-03 @Ventura Col              72  LA Valley Col            71           
2020-01-03  Santa Rosa JC            68 @Modesto JC               41           
2020-01-03  Skyline                  79 @Monterey Peninsula       77           
2020-01-03 @Riverside CC             92  Orange Coast             51           
2020-01-03  Santiago Canyon          90 @Saddleback               76           
2020-01-03  Southwestern CA          91 @SD City Col              85           
2020-01-03  San Joaquin Delta        73 @Sierra Col               58           
2020-01-03 @Irvine Valley           101  Golden West              70           
2020-01-03 @Wesley DE                90  Cairn                    83           
2020-01-03  Pitt-Johnstown           77 @California PA            57           
"2020-01-03  Middlebury               91  Colby-Sawyer             80           Springfield, MA"
2020-01-03 @Drexel                   61  Delaware                 55           
2020-01-03 @Indiana PA               93  Lock Haven               68           
2020-01-03 @Manchester               56  Mt St Joseph             52           
"2020-01-03  St Mary's MD             89  Nazareth                 77           Elizabethtown, PA"
2020-01-03 @NM Highlands             85  Regis CO                 76           
"2020-01-03  St Joseph's ME           83  Rivier                   71           Somerville, MA"
2020-01-03 @West Chester             84  Shepherd                 77           
2020-01-03 @CS Fullerton            103  St Katherine             52           
2020-01-03 @Adams St                 81  Chadron St               78           
2020-01-03 @St Augustine's          103  Glenville St             82           
2020-01-03 @Thompson Riv            102  Mt Royal                 73           
2020-01-03  Manitoba                 89 @Grant MacEwan            66           
2020-01-03 @Calgary                  94  Northern BC              70           
2020-01-03 @Univ Lethbridge         110  Regina                   92           
2020-01-03 @Victoria                 91  UBC-Okanagan             64           
2020-01-03  Brit Columbia            80 @Fraser Val               63           
2020-01-03  Saskatchewan             98 @Trinity Western          70           
2020-01-03  Lower Columbia           77 @Shoreline CC             68           
2020-01-03  Dallas Univ              59 @J&W CO                   58           
2020-01-03 @CSU-Pueblo               85  Colorado Chr             78           
2020-01-03  Linfield                 93 @Pacific OR               91           
2020-01-03  Centre                   77 @Birmingham So            68           
2020-01-03 @TX Lutheran              77  SW Univ TX               69           
2020-01-03  Sioux Falls              77 @Wayne St NE              65           
2020-01-03 @Colorado Col             88  Austin Col               80           
2020-01-03 @Westminster UT           68  Colorado Mines           66           
2020-01-03  Beloit                   68 @Cornell IA               62           
2020-01-03 @Concordia SP             79  Mary ND                  65           
2020-01-03 @Augustana SD             64  SW Minnesota             61           
2020-01-03  St Norbert               66 @Monmouth IL              44           
2020-01-03  St Thomas TX             88 @Trinity TX               64           
2020-01-03  Col Ozarks               73  Wilberforce              58           
2020-01-03  Walla Walla              82 @Evergreen St             70           
2020-01-03 @IU Kokomo                84  Lincoln Chr              50           
2020-01-03  Lourdes                  82 @Mia-Middletown           63           
2020-01-03  Northwest WA             92 @Portland Bible           70           
2020-01-03  Western Tech             76  Gogebic CC               57           
2020-01-03  Santa Ana Col            66  Antelope Val CC          63           
2020-01-03  Glendale CA              92  Oxnard                   80           
2020-01-03 @Florida National         94  Bry & Strat-Buffalo      92           
2020-01-03 @Kilgore                 109  Victoria College         67           
2020-01-03 @Rocky Mtn                71  Dickinson St ND          65           
2020-01-03 @LSU Shreveport           86  Tougaloo                 81           
2020-01-03  Oregon Tech             118 @Multnomah Bib            83           
2020-01-03 @Augustana AB            109  Olds                     78           
2020-01-03 @N Alberta Tech          100  St Mary's AB             85           
2020-01-03 @MT Tech                  88  Concordia AB             58           
2020-01-03  Fresno City Col          68 @MiraCosta                57           
2020-01-03  Apprentice               61  Virgin Islands           60           
2020-01-04  Abilene Chr              74 @Lamar                    62           
2020-01-04 @UNLV                     71  Air Force                59           
2020-01-04 @Seattle Pacific          86  AK Fairbanks             68           
2020-01-04  Akron                    69 @E Michigan               45           
2020-01-04 @Grambling                70  Alabama A&M              60           
2020-01-04  SUNY Albany              74 @Binghamton               62           
2020-01-04 @Albion                   74  Case Western             69           
2020-01-04 @Albright                 74  Stevenson                63           
2020-01-04 @Prairie View             84  Alcorn St                70           
2020-01-04  Mt Aloysius              66 @Alfred St                57           
2020-01-04  Alma                     97 @Finlandia                89           
2020-01-04 @Tusculum                 70  Anderson SC              54           
2020-01-04 @Trinity CT               87  Anna Maria               76           
2020-01-04 @Appalachian St           74  Ga Southern              72           
