STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,SUMLEV,STATE,COUNTY,TRACT,BLOCK,GEOID10_1,P0010001,P0010003,P0010004,P0020002,P0030001,P0030003,P0030004,P0040002
37,119,5835,1025,3.71E+14,Block 1025,G5040,,,S,11551,0,35.101013,-80.71146,750,37,119,5835,1025,3.71E+14,0,0,0,0,0,0,0,0
37,119,6405,2023,3.71E+14,Block 2023,G5040,,,S,2340,0,35.4757886,-80.8541282,750,37,119,6405,2023,3.71E+14,0,0,0,0,0,0,0,0
37,119,6404,1053,3.71E+14,Block 1053,G5040,,,S,24626,0,35.490879,-80.8298731,750,37,119,6404,1053,3.71E+14,37,34,0,5,25,24,0,2
37,119,6209,3012,3.71E+14,Block 3012,G5040,,,S,14735,0,35.4484738,-80.8702668,750,37,119,6209,3012,3.71E+14,0,0,0,0,0,0,0,0
37,119,6209,3046,3.71E+14,Block 3046,G5040,,,S,69000,696,35.4437524,-80.8722579,750,37,119,6209,3046,3.71E+14,0,0,0,0,0,0,0,0
37,119,6403,1021,3.71E+14,Block 1021,G5040,,,S,12969,0,35.5070979,-80.8563367,750,37,119,6403,1021,3.71E+14,37,36,1,0,30,29,1,0
37,119,6407,2029,3.71E+14,Block 2029,G5040,,,S,11951,0,35.4499403,-80.8644115,750,37,119,6407,2029,3.71E+14,0,0,0,0,0,0,0,0
37,119,6404,1014,3.71E+14,Block 1014,G5040,,,S,506060,10982,35.4899532,-80.8237403,750,37,119,6404,1014,3.71E+14,350,344,1,6,231,227,1,2
37,119,6404,2072,3.71E+14,Block 2072,G5040,,,S,39514,0,35.4595352,-80.8068391,750,37,119,6404,2072,3.71E+14,17,15,2,0,15,13,2,0
37,119,6404,2034,3.71E+14,Block 2034,G5040,,,S,16646,0,35.4791641,-80.8191436,750,37,119,6404,2034,3.71E+14,10,10,0,0,6,6,0,0
37,119,6405,2003,3.71E+14,Block 2003,G5040,,,S,1209403,0,35.4869195,-80.854736,750,37,119,6405,2003,3.71E+14,194,182,7,8,138,133,4,6
37,119,6406,3001,3.71E+14,Block 3001,G5040,,,S,12646,0,35.4710504,-80.8525812,750,37,119,6406,3001,3.71E+14,38,38,0,1,30,30,0,1
37,119,6211,1010,3.71E+14,Block 1010,G5040,,,S,13881,0,35.4420335,-80.877614,750,37,119,6211,1010,3.71E+14,0,0,0,0,0,0,0,0
37,119,5833,3010,3.71E+14,Block 3010,G5040,,,S,105366,0,35.1167205,-80.733793,750,37,119,5833,3010,3.71E+14,2,2,0,0,2,2,0,0
37,119,5834,1027,3.71E+14,Block 1027,G5040,,,S,32569,0,35.1082225,-80.6942465,750,37,119,5834,1027,3.71E+14,0,0,0,0,0,0,0,0
37,119,5834,1005,3.71E+14,Block 1005,G5040,,,S,381120,0,35.1156551,-80.7141427,750,37,119,5834,1005,3.71E+14,167,119,27,19,127,94,22,10
37,119,5709,1013,3.71E+14,Block 1013,G5040,,,S,15559,0,35.1291761,-80.7073322,750,37,119,5709,1013,3.71E+14,0,0,0,0,0,0,0,0
37,119,5713,2008,3.71E+14,Block 2008,G5040,,,S,376677,4275,35.1404291,-80.6781265,750,37,119,5713,2008,3.71E+14,157,136,9,16,141,126,5,10
37,119,5711,3000,3.71E+14,Block 3000,G5040,,,S,167400,0,35.1733907,-80.6602504,750,37,119,5711,3000,3.71E+14,63,46,9,12,51,40,9,5
37,119,5812,2028,3.71E+14,Block 2028,G5040,,,S,208006,0,35.124995,-80.7264375,750,37,119,5812,2028,3.71E+14,3,3,0,0,3,3,0,0
37,119,5711,3036,3.71E+14,Block 3036,G5040,,,S,37708,0,35.1496573,-80.6810002,750,37,119,5711,3036,3.71E+14,0,0,0,0,0,0,0,0
37,119,5812,1007,3.71E+14,Block 1007,G5040,,,S,16330,0,35.1253462,-80.7353232,750,37,119,5812,1007,3.71E+14,16,15,1,0,11,10,1,0
37,119,5711,1002,3.71E+14,Block 1002,G5040,,,S,110858,0,35.1764667,-80.6832138,750,37,119,5711,1002,3.71E+14,74,61,6,0,61,49,5,0
37,119,5711,3029,3.71E+14,Block 3029,G5040,,,S,57108,0,35.1589118,-80.6732562,750,37,119,5711,3029,3.71E+14,30,30,0,2,25,25,0,2
